ID,Date,IUCR,Arrest,Domestic,District,ComArea,Latitude,Longitude
9754994,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755056,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755066,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755072,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755080,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755089,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755100,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755112,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755122,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755126,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755147,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755149,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755158,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755169,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755198,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755209,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755214,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755238,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755245,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9755248,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9863118,2001-01-01T00:00:00.000Z,1562,False,False,10.0,29.0,"",""
9959537,2001-01-01T00:00:00.000Z,1752,False,True,16.0,17.0,"",""
1309885,2001-01-01T00:00:00.000Z,1320,False,False,19.0,"",41.963705611,-87.650116531
1309913,2001-01-01T00:00:00.000Z,1310,False,False,2.0,"",41.844745115,-87.621968071
1310162,2001-01-01T00:00:00.000Z,1320,False,False,8.0,"",41.747712773,-87.712370684
1310313,2001-01-01T00:00:00.000Z,1310,False,False,22.0,"",41.694977232,-87.671447845
1310494,2001-01-01T00:00:00.000Z,1320,False,False,18.0,"",41.890741624,-87.628671125
1310513,2001-01-01T00:00:00.000Z,0810,False,False,10.0,"",41.848678639,-87.677463341
1310541,2001-01-01T00:00:00.000Z,0460,False,False,4.0,"",41.753316255,-87.563985474
1310724,2001-01-01T00:00:00.000Z,1310,False,False,8.0,"",41.782030175,-87.690891368
1310854,2001-01-01T00:00:00.000Z,1320,False,False,24.0,"",42.008635121,-87.686868567
1310933,2001-01-01T00:00:00.000Z,0810,False,False,1.0,"",41.886703808,-87.628054456
1311351,2001-01-01T00:00:00.000Z,0620,False,False,9.0,"","",""
1311655,2001-01-01T00:00:00.000Z,0810,False,False,5.0,"",41.673024796,-87.651647315
1311905,2001-01-01T00:00:00.000Z,1130,False,False,7.0,"",41.787732833,-87.650917495
1312153,2001-01-01T00:00:00.000Z,1310,False,False,15.0,"",41.886130325,-87.75909702
1312179,2001-01-01T00:00:00.000Z,1310,False,False,15.0,"",41.874861694,-87.745391944
1312432,2001-01-01T00:00:00.000Z,0820,False,False,3.0,"",41.784258071,-87.612201911
1313893,2001-01-01T00:00:00.000Z,1310,False,False,14.0,"",41.936549915,-87.697097823
1316070,2001-01-01T00:00:00.000Z,2820,False,False,10.0,"",41.84705874,-87.7277947
1318802,2001-01-01T00:00:00.000Z,0820,False,True,5.0,"",41.66782394,-87.622155017
1320404,2001-01-01T00:00:00.000Z,1310,False,False,18.0,"",41.916592082,-87.648594807
1322043,2001-01-01T00:00:00.000Z,1310,False,False,8.0,"",41.782292325,-87.684798685
1322501,2001-01-01T00:00:00.000Z,0820,False,False,11.0,"",41.899046677,-87.730036643
1329588,2001-01-01T00:00:00.000Z,0820,False,False,3.0,"",41.783961993,-87.606155349
1352564,2001-01-01T00:00:00.000Z,0820,False,False,14.0,"",41.914955409,-87.693605188
1353509,2001-01-01T00:00:00.000Z,1150,False,False,11.0,"",41.87821192,-87.711432075
1357088,2001-01-01T00:00:00.000Z,1150,False,False,17.0,"",41.995267432,-87.729044138
1362018,2001-01-01T00:00:00.000Z,0560,False,False,25.0,"",41.903597909,-87.724042825
1369398,2001-01-01T00:00:00.000Z,1120,False,False,19.0,"",41.941359919,-87.67221762
1370270,2001-01-01T00:00:00.000Z,0820,False,False,15.0,"",41.886271732,-87.773282434
1370284,2001-01-01T00:00:00.000Z,0820,False,False,15.0,"",41.886271732,-87.773282434
1374123,2001-01-01T00:00:00.000Z,0820,False,False,8.0,"",41.810679064,-87.747061323
1392468,2001-01-01T00:00:00.000Z,1210,False,False,12.0,"",41.893824874,-87.686272003
1403263,2001-01-01T00:00:00.000Z,1120,False,False,6.0,"",41.741163326,-87.617740827
1413854,2001-01-01T00:00:00.000Z,0820,False,False,9.0,"",41.799993307,-87.703599627
1432149,2001-01-01T00:00:00.000Z,2825,False,False,18.0,"",41.899161316,-87.619843746
1448635,2001-01-01T00:00:00.000Z,1140,False,False,17.0,"",41.994815901,-87.714344716
1448953,2001-01-01T00:00:00.000Z,0560,False,True,24.0,"",41.994699275,-87.657186625
1520951,2001-01-01T00:00:00.000Z,0840,False,False,6.0,"",41.748623027,-87.608654109
1535712,2001-01-01T00:00:00.000Z,1140,True,False,16.0,"",41.976200173,-87.905312411
